OrderID	OrderType	Status	Symbol	Time	Comment	Volume	Price	TakeProfit	StopLoss	Profit	Swap	Commission	Balance	Equity	Margin	FreeMargin
0	SYSTEM	EA_STARTED	USDCHF	01:01:2018 00:00:00	DailyOrderEA v1.02 (Auto-Close at 23:00) started with 16672 orders	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10000.0	10000.0	0.0	10000.0
2	buy	OPEN	USDCHF	02:01:2018 08:00:00	CSV Order #1	0.1	0.97365	0.97465	0.9731500000000001	0.0	0.0	0.0	10000.0	9999.59	100.0	9899.59
3	buy	OPEN	USDCHF	02:01:2018 09:00:00	CSV Order #2	0.1	0.97344	0.97444	0.97294	0.0	0.0	0.0	10000.0	9997.22	200.0	9797.22
2	buy	CLOSE	USDCHF	02:01:2018 09:03:36	CSV Order #1 - CLOSED	0.1	0.97315	0.0	0.0	-5.489999999999999	0.0	-0.35000000000000003	9994.86	9991.88	100.0	9891.88
3	buy	CLOSE	USDCHF	02:01:2018 09:22:38	CSV Order #2 - CLOSED	0.1	0.97294	0.0	0.0	-5.489999999999999	0.0	-0.35000000000000003	9989.72	9989.72	0.0	9989.72
6	buy	OPEN	USDCHF	02:01:2018 10:00:00	CSV Order #3	0.1	0.97322	0.97422	0.97272	0.0	0.0	0.0	9989.72	9989.41	100.0	9889.41
6	buy	CLOSE	USDCHF	02:01:2018 10:25:42	CSV Order #3 - CLOSED	0.1	0.97269	0.0	0.0	-5.8	0.0	-0.35000000000000003	9984.27	9984.27	0.0	9984.27
8	buy	OPEN	USDCHF	02:01:2018 11:00:00	CSV Order #4	0.1	0.97296	0.97396	0.9724600000000001	0.0	0.0	0.0	9984.27	9984.06	100.0	9884.06
8	buy	CLOSE	USDCHF	02:01:2018 11:31:39	CSV Order #4 - CLOSED	0.1	0.97246	0.0	0.0	-5.489999999999999	0.0	-0.35000000000000003	9979.13	9979.13	0.0	9979.13
10	buy	OPEN	USDCHF	02:01:2018 12:00:00	CSV Order #5	0.1	0.9714	0.9724	0.9709000000000001	0.0	0.0	0.0	9979.13	9978.92	100.0	9878.92
10	buy	CLOSE	USDCHF	02:01:2018 12:30:17	CSV Order #5 - CLOSED	0.1	0.97089	0.0	0.0	-5.6	0.0	-0.35000000000000003	9973.88	9973.88	0.0	9973.88
12	buy	OPEN	USDCHF	02:01:2018 13:00:00	CSV Order #6	0.1	0.97128	0.97228	0.9707800000000001	0.0	0.0	0.0	9973.88	9973.67	100.0	9873.67
12	buy	CLOSE	USDCHF	02:01:2018 13:10:39	CSV Order #6 - CLOSED	0.1	0.97075	0.0	0.0	-5.81	0.0	-0.35000000000000003	9968.42	9968.42	0.0	9968.42
